Title	Assignees	Status
Note: All of the Items have a more detailed description pls. click them to see. (this is not an item)		Todo
Tech: Streamline testing proces		Todo
Team: Completing Task Quicker (earlier PR)		Todo
Team: Rotating the deliverable creation		Todo
Tech: Split Backlog Items (PR and Creation)		Todo
Team: Assist in creating team processes (Sinatra Doctrine, this is ongoing)		In Progress
Team: Load balancing inside the dev team		In Progress
Team: Making sure all tasks in a sprint are being finished		In Progress
Tech: Repository coordination		In Progress
Team collaboration (between dev and po)		Done
Gain Independence from the IP		Done
Lifting the collective mood		Done
Creating a Template for backlog item suggestions by the IP		Done
Solving dissatisfaction among the team		Done
Focus on IP (and PO relations)		Done
Ensuring that everyone has work to do		Done
Backlog Item creation procedure		Done
Helping Coordinate the team meeting		Done
Helping to set up the first IP meeting		Done
Supporting team in understanding the amos workflow (e.g importance of the team meeting)		Done
Creating Sub-Teams to streamline development		Done
Establishing a continuouse release cycle with the team		Done
Improving time management in the Team meeting		Done
Ensuring a continuous backlog items flow		Done
