Title	Assignees	Status
Assist in creating team processes (Sinatra Doctrine)		Todo
Load balancing inside the dev team		Todo
Creating a Template for backlog item suggestions by the IP		Todo
Solving dissatisfaction among the team		Todo
Ensuring a continuous backlog items flow		In Progress
Backlog Item creation procedure		In Progress
Ensuring that everyone has work to do		In Progress
Focus on IP (and PO relations)		In Progress
Helping Coordinate the team meeting		Done
Helping to set up the first IP meeting		Done
Supporting team in understanding the amos workflow (e.g importance of the team meeting)		Done
Creating Sub-Teams to streamline development		Done
Establishing a continuouse release cycle with the team		Done
Improving time management in the Team meeting		Done
