Title	Assignees	Status
Assist in creating team processes (Sinatra Doctrine)		Todo
Creating a Template for backlog item suggestions by the IP		Todo
Improving time management in the Team meeting		Todo
Backlog Item creation procedure		Todo
Load balancing inside the dev team		Todo
Establishing a continuouse release cycle with the team		In Progress
Creating Sub-Teams to streamline development		In Progress
Ensuring a continuous backlog items flow		In Progress
Helping Coordinate the team meeting		Done
Helping to set up the first IP meeting		Done
Supporting team in understanding the amos workflow (e.g importance of the team meeting)		Done
