Title	Assignees	Status
Assist in creating team processes (Sinatra Doctrine)		Todo
Creating a Template for backlog item suggestions by the IP		Todo
Gain Independence from the IP		Todo
Focus on IP (and PO relations)		In Progress
Solving dissatisfaction among the team		In Progress
Lifting the collective mood		In Progress
Load balancing inside the dev team		In Progress
Ensuring that everyone has work to do		Done
Backlog Item creation procedure		Done
Helping Coordinate the team meeting		Done
Helping to set up the first IP meeting		Done
Supporting team in understanding the amos workflow (e.g importance of the team meeting)		Done
Creating Sub-Teams to streamline development		Done
Establishing a continuouse release cycle with the team		Done
Improving time management in the Team meeting		Done
Ensuring a continuous backlog items flow		Done
